transition_index,x_start,x_end,D_T,u
158,0.0395,0.03975,0.025428922019629804,0.8822649902310138
159,0.03975,0.04,0.025277657586442837,0.8770168199167167
160,0.04,0.04025,0.02512423419136596,0.8716937436945229
161,0.04025,0.0405,0.024968750310729412,0.8662991782337853
162,0.0405,0.04075,0.024811306607416917,0.8608366160670641
163,0.04075,0.041,0.02465200595931918,0.8553096265773308
164,0.041,0.04125,0.024490953487565185,0.849721856977462
165,0.04125,0.0415,0.02432825658437695,0.8440770332766705
166,0.0415,0.04175,0.02416402494033406,0.8383789612264566
167,0.04175,0.042,0.023998370570803118,0.8326315272375867
168,0.042,0.04225,0.023831407841280045,0.8268386992593537
169,0.04225,0.0425,0.02366325349133981,0.8210045276105201
170,0.0425,0.04275,0.02349402665686396,0.8151331457505102
171,0.04275,0.043000000000000003,0.023323848890178533,0.8092287709781013
172,0.043000000000000003,0.043250000000000004,0.023152844177689345,0.8032957050432864
173,0.043250000000000004,0.043500000000000004,0.022981138954561085,0.7973383346565698
174,0.043500000000000004,0.043750000000000004,0.02280886211594432,0.7913611318784922
175,0.043750000000000004,0.044,0.022636145024203688,0.7853686543704151
176,0.044,0.04425,0.02246312151154676,0.7793655454857301
177,0.04425,0.0445,0.022289927877397447,0.7733565341787286
178,0.0445,0.04475,0.022116702879825305,0.767346434707238
179,0.04475,0.045,0.021943587720246842,0.7613401461018291
180,0.045,0.04525,0.02177072602059564,0.7553426513737257
181,0.04525,0.0455,0.02159826379207322,0.7493590164306048
182,0.0455,0.04575,0.02142634939455119,0.7433943886680414
183,0.04575,0.046,0.021255133485632093,0.7374539952021566
184,0.046,0.04625,0.021084768958331453,0.7315431407074761
185,0.04625,0.0465,0.020915410866274065,0.7256672048215895
186,0.0465,0.04675,0.020747216335288837,0.7198316390779044
187,0.04675,0.047,0.020580344460213958,0.7140419633252665
188,0.047,0.04725,0.02041495618572059,0.708303761593098
189,0.04725,0.0475,0.020251214169945606,0.7026226773600895
190,0.0475,0.04775,0.02008928262971435,0.6970044081841513
191,0.04775,0.048,0.019929327166149778,0.6914546996518646
192,0.048,0.04825,0.01977151456951708,0.6859793386074995
193,0.04825,0.0485,0.019616012602187236,0.6805841456228633
194,0.0485,0.04875,0.01946298975869033,0.675274966672269
195,0.04875,0.049,0.019312615001954758,0.6700576639812669
196,0.049,0.04925,0.019165057474942956,0.664938106021748
197,0.04925,0.0495,0.01902048618708507,0.6599221566326563
198,0.0495,0.04975,0.018879069675121367,0.6550156632528014
199,0.04975,0.05,0.018740975638176637,0.6502244442596427
200,0.05,0.05025,0.018606370547226428,0.6455542754195889
201,0.05025,0.0505,0.018475419229362463,0.6410108754639477
202,0.0505,0.05075,0.018348284427688516,0.6365998908193646
203,0.05075,0.051000000000000004,0.018225126338001035,0.6323268795328022
204,0.051000000000000004,0.051250000000000004,0.018106102123875825,0.628197294447309
205,0.051250000000000004,0.051500000000000004,0.017991365412184435,0.6242164656987919
206,0.051500000000000004,0.051750000000000004,0.01788106577154364,0.620389582620645
207,0.051750000000000004,0.052000000000000005,0.017775348176676954,0.6167216751595933
208,0.052000000000000005,0.05225,0.017674352462097472,0.6132175949210344
209,0.05225,0.0525,0.017578212769034332,0.609881995979967
210,0.0525,0.05275,0.017487056989902452,0.6067193156066816
211,0.05275,0.053,0.017401006215059828,0.6037337550718191
212,0.053,0.05325,0.017320174186919925,0.6009292607066175
213,0.05325,0.0535,0.017244666766761875,0.5983095054037114
214,0.0535,0.05375,0.017174581419820676,0.5958778707521646
215,0.05375,0.054,0.017110006724317842,0.5936374300031231
216,0.054,0.05425,0.017051021910139855,0.5915909320641091
217,0.05425,0.0545,0.016997696432772026,0.5897407867165133
218,0.0545,0.05475,0.016950089587864675,0.5880890512428393
219,0.05475,0.055,0.016908250171555655,0.5866374186414788
220,0.055,0.05525,0.01687221619114133,0.5853872075883446
221,0.05525,0.0555,0.01684201463025128,0.5843393542895279
222,0.0555,0.05575,0.016817661271943868,0.5834944063435397
223,0.05575,0.056,0.01679916058247928,0.5828525187087771
224,0.056,0.05625,0.016786505657691703,0.5824134518428884
225,0.05625,0.0565,0.016779678233030827,0.5821765720511662
226,0.0565,0.05675,0.016778648757483368,0.5821408540512792
227,0.05675,0.057,0.01678337653066154,0.5823048857296035
228,0.057,0.05725,0.016793809901507174,0.5826668750353277
229,0.05725,0.0575,0.016809886526178527,0.5832246589279232
230,0.0575,0.05775,0.016831533681953014,0.5839757142681049
231,0.05775,0.058,0.016858668633229754,0.5849171705164119
232,0.058,0.05825,0.01689119904513874,0.586045824083517
233,0.05825,0.0585,0.016929023439729806,0.587358154157856
234,0.0585,0.058750000000000004,0.016972031689338543,0.5888503398231238
235,0.058750000000000004,0.059000000000000004,0.017020105541428486,0.5905182782678506
236,0.059000000000000004,0.059250000000000004,0.017073119169080136,0.5923576038848032
237,0.059250000000000004,0.059500000000000004,0.017130939741208266,0.5943637080548658
238,0.059500000000000004,0.059750000000000004,0.017193428006694742,0.5965317594137248
239,0.059750000000000004,0.06,0.01726043888676916,0.5988567244047138
240,0.06,0.06025,0.01733182207021595,0.6013333879297238
241,0.06025,0.0605,0.017407422606326745,0.6039563739218851
242,0.0605,0.06075,0.017487081490898677,0.6067201656769746
243,0.06075,0.061,0.01757063624102614,0.6096191257960097
244,0.061,0.06125,0.01765792145487671,0.6126475156068613
245,0.06125,0.0615,0.017748769353166337,0.6157995139509175
246,0.0615,0.06175,0.017843010299519218,0.6190692352371443
247,0.06175,0.062,0.01794047329739626,0.6224507466831857
248,0.062,0.06225,0.01804098646176029,0.6259380846799465
249,0.06225,0.0625,0.01814437746409481,0.6295252702316668
250,0.0625,0.06275,0.01825047394981674,0.6332063234381985
251,0.06275,0.063,0.01835910392753313,0.6369752770003967
252,0.063,0.06325,0.01847009612993014,0.6408261887412848
253,0.06325,0.0635,0.018583280346403455,0.6447531531467774
254,0.0635,0.06375,0.018698487727845773,0.6487503119403859
255,0.06375,0.064,0.01881555106418079,0.6528118637123522
256,0.064,0.06425,0.01893430503552034,0.6569320726336311
257,0.06425,0.0645,0.01905458643790271,0.6611052762879557
258,0.0645,0.06475,0.019176234384752036,0.6653258926615399
259,0.06475,0.065,0.019299090485285993,0.6695884263329923
260,0.065,0.06525,0.01942299900114407,0.6738874739075879
261,0.06525,0.0655,0.0195478069825947,0.6782177287430186
262,0.0655,0.06575,0.019673364385662577,0.6825739850131664
263,0.06575,0.066,0.01979952417153806,0.6869511411571451
264,0.066,0.06625,0.019926142389631935,0.6913442027609137
265,0.06625,0.0665,0.02005307824556779,0.6957482849162941
266,0.0665,0.06675,0.02018019415540989,0.700158614102426
267,0.06675,0.067,0.02030735578735932,0.7045705296324284
268,0.067,0.06725,0.020434432092085873,0.7089794847057743
269,0.06725,0.0675,0.020561295322832487,0.7133810471058216
270,0.0675,0.06775,0.02068782104631872,0.717770899578112
271,0.06775,0.068,0.020813888145478184,0.7221448399253481
272,0.068,0.06825,0.02093937881491617,0.7264987808497931
273,0.06825,0.0685,0.021064178549970072,0.7308287495737197
274,0.0685,0.06875,0.021188176130168764,0.7351308872655266
275,0.06875,0.069,0.02131126359781996,0.7394014482968205
276,0.069,0.06925,0.02143333623240149,0.7436367993539125
277,0.06925,0.0695,0.021554292521371123,0.7478334184250549
278,0.0695,0.06975,0.021674034127965862,0.7519878936832275
279,0.06975,0.07,0.021792465856480047,0.7560969222814493
280,0.07,0.07025,0.02190949561550349,0.7601573090773132
281,0.07025,0.07050000000000001,0.022025034379510613,0.7641659653003082
282,0.07050000000000001,0.07075000000000001,0.022138996149207155,0.768119907176036
283,0.07075000000000001,0.07100000000000001,0.0222512979109085,0.7720162545168269
284,0.07100000000000001,0.07125000000000001,0.02236185959530778,0.7758522292911864
285,0.07125000000000001,0.07150000000000001,0.022470604035849967,0.7796251541795701
286,0.07150000000000001,0.07175000000000001,0.022577456926955317,0.7833324511249319
287,0.07175000000000001,0.07200000000000001,0.022682346782303107,0.7869716398853643
288,0.07200000000000001,0.07225,0.022785204893333095,0.7905403365942929
289,0.07225,0.0725,0.022885965288130704,0.7940362523339833
290,0.0725,0.07275,0.022984564690824775,0.7974571917268336
291,0.07275,0.073,0.023080942481596717,0.8008010515478773
292,0.073,0.07325,0.023175040657425903,0.8040658193628325
293,0.07325,0.0735,0.023266803793606107,0.8072495721929013
294,0.0735,0.07375,0.02335617900614259,0.8103504752101242
295,0.07375,0.074,0.02344311591505454,0.8133667804641458
296,0.074,0.07425,0.023527566608633834,0.8162968256421609
297,0.07425,0.0745,0.023609485608692544,0.8191390328631646
298,0.0745,0.07475,0.023688829836818324,0.821891907507172
299,0.07475,0.075,0.02376555858167457,0.8245540370806858
300,0.075,0.07525,0.02383963346730528,0.8271240901170234
301,0.07525,0.0755,0.02391101842251847,0.8296008151140638
302,0.0755,0.07575,0.02397967965127845,0.8319830395069976
303,0.07575,0.076,0.024045585604153614,0.8342696686776987
304,0.076,0.07625,0.024108706950773762,0.8364596849991222
305,0.07625,0.0765,0.02416901655330951,0.8385521469151627
306,0.0765,0.07675,0.024226489440944927,0.8405461880549745
307,0.07675,0.077,0.024281102785325928,0.8424410163811454
308,0.077,0.07725,0.024332835876976874,0.8442359133714625
309,0.07725,0.0775,0.024381670102646934,0.8459302332329366
310,0.0775,0.07775,0.024427588923576753,0.8475234021477571
311,0.07775,0.078,0.024470577854658306,0.8490149175502358
312,0.078,0.07825,0.024510624444464755,0.8504043474339367
313,0.07825,0.0785,0.024547718256117394,0.8516913296878474
314,0.0785,0.07875,0.02458185084898149,0.8528755714613114
315,0.07875,0.079,0.02461301576114426,0.8539568485560939
316,0.079,0.07925,0.024641208492668924,0.8549350048453771
317,0.07925,0.0795,0.024666426489583247,0.8558099517182365
318,0.0795,0.07975,0.024688669128581215,0.8565816675488606
319,0.07975,0.08,0.024707937702424076,0.8572501971900351
320,0.08,0.08025,0.024724235405987567,0.8578156514890467
321,0.08025,0.0805,0.024737567322953024,0.8582782068259269
322,0.0805,0.08075,0.02474794041311545,0.8586381046731009
323,0.08075,0.081,0.02475536350025192,0.8588956511744776
324,0.081,0.08125,0.02475984726056765,0.8590512167445833
325,0.08125,0.0815,0.024761404211664437,0.8591052356858163
326,0.0815,0.08175,0.0247600487020061,0.8590582058229481
327,0.08175,0.082,0.024755796900864827,0.8589106881543079
