u_threshold,R_empirical,R_exponential,residual
0.592964824120603,0.932,0.6455752244242381,0.28642477557576196
0.5979899497487438,0.928,0.6419661535075958,0.28603384649240426
0.6030150753768845,0.923,0.6383772590047758,0.2846227409952242
0.6080402010050251,0.919,0.6348084281200796,0.2841915718799204
0.6130653266331658,0.915,0.63125954868839,0.2837404513116101
0.6180904522613065,0.912,0.6277305091716461,0.28426949082835395
0.6231155778894473,0.908,0.6242211986553372,0.2837788013446628
0.628140703517588,0.906,0.6207315068450175,0.2852684931549825
0.6331658291457286,0.903,0.6172613240628394,0.2857386759371606
0.6381909547738693,0.899,0.6138105412441057,0.2851894587558943
0.6432160804020101,0.897,0.6103790499338432,0.28662095006615684
0.6482412060301508,0.894,0.606966742283393,0.28703325771660704
0.6532663316582915,0.891,0.6035735110470211,0.28742648895297895
0.6582914572864321,0.888,0.6001992495785482,0.2878007504214518
0.6633165829145728,0.88,0.5968438518279974,0.28315614817200263
0.6683417085427136,0.863,0.5935072123382612,0.2694927876617388
0.6733668341708543,0.853,0.5901892262417876,0.2628107737582124
0.678391959798995,0.842,0.5868897892572836,0.25511021074271634
0.6834170854271356,0.835,0.583608797686438,0.25139120231356193
0.6884422110552764,0.817,0.5803461484106619,0.23665385158933805
0.6934673366834171,0.795,0.5771017388878488,0.21789826111215127
0.6984924623115578,0.766,0.5738754671491503,0.19212453285084974
0.7035175879396985,0.724,0.5706672317957728,0.15333276820422714
0.7085427135678392,0.697,0.5674769319957895,0.12952306800421043
0.7135678391959799,0.672,0.5643044674809717,0.1076955325190283
0.7185929648241206,0.65,0.561149738543638,0.08885026145636199
0.7236180904522613,0.627,0.5580126460335196,0.06898735396648037
0.7286432160804021,0.608,0.554893091354645,0.053106908645354944
0.7336683417085427,0.587,0.5517909764622407,0.03520902353775923
0.7386934673366834,0.568,0.5487062038596495,0.019293796140350428
0.7437185929648241,0.548,0.5456386765952673,0.002361323404732718
0.7487437185929648,0.531,0.5425882982594948,-0.011588298259494811
0.7537688442211056,0.51,0.5395549729817083,-0.029554972981708283
0.7587939698492463,0.492,0.536538605427246,-0.04453860542724597
0.7638190954773869,0.473,0.5335391007944122,-0.06053910079441227
0.7688442211055276,0.452,0.5305563648114973,-0.07855636481149725
0.7738693467336684,0.432,0.5275903037338152,-0.09559030373381522
0.7788944723618091,0.412,0.524640824340757,-0.112640824340757
0.7839195979899498,0.39,0.5217078339328612,-0.13170783393286123
0.7889447236180904,0.368,0.5187912403289001,-0.15079124032890012
0.7939698492462312,0.344,0.5158909518629825,-0.17189095186298253
0.7989949748743719,0.317,0.5130068773816732,-0.19600687738167316
0.8040201005025126,0.288,0.5101389262411271,-0.22213892624112713
0.8090452261306533,0.239,0.5072870083042422,-0.26828700830424224
0.8140703517587939,0.2,0.504451033937825,-0.30445103393782497
0.8190954773869347,0.187,0.5016309140097734,-0.31463091400977344
0.8241206030150754,0.169,0.49882655988627683,-0.32982655988627685
0.8291457286432161,0.146,0.4960378834290292,-0.3500378834290292
0.8341708542713568,0.14,0.4932647969924592,-0.35326479699245916
0.8391959798994975,0.132,0.4905072134209759,-0.3585072134209759
0.8442211055276382,0.126,0.4877650460462293,-0.3617650460462293
0.8492462311557789,0.118,0.4850382086843864,-0.3670382086843864
0.8542713567839196,0.107,0.4823266156334228,-0.3753266156334228
0.8592964824120604,0.087,0.4796301816704286,-0.3926301816704286
0.864321608040201,0.085,0.4769488220489308,-0.3919488220489308
0.8693467336683417,0.083,0.4742824524962287,-0.39128245249622867
0.8743718592964824,0.081,0.47163098921074637,-0.39063098921074635
0.8793969849246231,0.079,0.468994348859398,-0.389994348859398
0.8844221105527639,0.078,0.4663724485749693,-0.3883724485749693
0.8894472361809045,0.076,0.46376520595351295,-0.38776520595351294
0.8944723618090452,0.074,0.4611725390517585,-0.38717253905175847
0.8994974874371859,0.072,0.4585943663845373,-0.3865943663845373
0.9045226130653267,0.07,0.4560306069222213,-0.3860306069222213
0.9095477386934674,0.068,0.4534811800881764,-0.3854811800881764
0.914572864321608,0.066,0.45094600575623006,-0.38494600575623006
0.9195979899497487,0.064,0.44842500424815285,-0.38442500424815285
0.9246231155778895,0.063,0.44591809633115437,-0.38291809633115437
0.9296482412060302,0.06,0.443425203215393,-0.38342520321539303
0.9346733668341709,0.057,0.4409462465514998,-0.3839462465514998
0.9396984924623115,0.055,0.4384811484281156,-0.3834811484281156
0.9447236180904522,0.053,0.4360298313694425,-0.3830298313694425
0.949748743718593,0.051,0.43359221833280936,-0.3825922183328094
0.9547738693467337,0.048,0.4311682327062498,-0.38316823270624983
0.9597989949748744,0.045,0.4287577983060945,-0.3837577983060945
0.964824120603015,0.042,0.42636083937457697,-0.384360839374577
0.9698492462311558,0.039,0.42397728057745265,-0.3849772805774527
0.9748743718592965,0.036,0.4216070470016306,-0.3856070470016306
0.9798994974874372,0.032,0.41925006415281996,-0.38725006415281993
0.9849246231155779,0.028,0.4169062579531879,-0.3889062579531879
0.9899497487437187,0.022,0.414575554739032,-0.392575554739032
0.9949748743718593,0.016,0.41225788125846463,-0.3962578812584646
1.0,0.0,0.4099531646691106,-0.4099531646691106
