x,psi_1,psi_2,psi_3,psi_4,psi_5,psi_6,psi_7,psi_8,psi_9,psi_10,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6,rho_7,rho_8,rho_9,rho_10
0.08650000000000001,0.3795968023164408,0.7313336597768093,1.0293953668975642,1.251906126323678,1.3825350905620608,1.4116949403358412,1.3372455316771261,1.164650968622467,0.9065785733932773,0.5819691870506102,0.14409373232886702,0.5348489219225419,1.0596548213901706,1.5672689491267566,1.9114032766354456,1.9928826045698143,1.7882256119904396,1.3564118787132509,0.8218847097357899,0.3386881346763481
0.08675000000000001,0.38066664601251315,0.7332341024250089,1.031677342069215,1.25396655680867,1.383693304095461,1.4112817082746318,1.3346953109174948,1.1595873935044814,0.8988836762776816,0.5718281966554524,0.144907095386416,0.5376322489590084,1.064358138139,1.5724321255945914,1.914607159798614,1.991716060110563,1.781411572985148,1.344642923174517,0.80799186347848,0.3269874864902267
0.08700000000000001,0.3817362548942724,0.7351327358909494,1.0339535897294452,1.256014611149993,1.384830179366402,1.4108371364890604,1.3321047482081632,1.1544780398617318,0.8911438667410098,0.5616519332035735,0.1457225683007049,0.5404201393785124,1.0690600257144058,1.5775727034222682,1.917754625683981,1.9904614256966515,1.7745030601987337,1.3328195445229865,0.7941373912301186,0.31545289407131144
0.08725000000000001,0.38280562830192977,0.7370295554899414,1.036224097241325,1.2580502691341775,1.3859456988428611,1.4103612348515404,1.3294739218504108,1.1493231094027514,0.8833595315002466,0.5514410244148378,0.14654014905963522,0.5432125656657006,1.073760379703599,1.5826904796685763,1.9208454801410266,1.989118812771962,1.7675009088803122,1.320943609807209,0.7803240618923352,0.3040872034076857
0.08750000000000001,0.3838747655758422,0.7389245565417711,1.0384888519997917,1.2600735106701009,1.3870398453221475,1.4098540139302147,1.3268029113625093,1.1441228056353687,0.8755310594970885,0.5411961001461966,0.14735983564590782,0.5460095002604531,1.0784590957278453,1.587785252292473,1.923879532511287,1.987688340595138,1.7604059656000306,1.3090169943749477,0.7665546361440944,0.29289321881345204
0.08775000000000001,0.3849436660565121,0.7408177343707121,1.0407478414317193,1.2620843157891866,1.3881126019311694,1.4093154849887193,1.32409179747732,1.1388773338586713,0.8676588418785111,0.5309177923528376,0.1481816260370275,0.5488109155581549,1.083156069444783,1.5928568201610591,1.9268565956401211,1.986170136228989,1.7532190881467205,1.2970415815770355,0.7528318658899591,0.28187370223681085
0.088,0.38601232908458777,0.7427090843055358,1.0430010529959897,1.2640826646455994,1.3891639521266925,1.4087456599859343,1.321340662139852,1.1335869011549036,0.8597432719772244,0.5206067350492009,0.14900551820530808,0.5516167839099675,1.0878511965507431,1.597904983057519,1.9297764858882518,1.9845643345292054,1.7459411454241827,1.2850192624699772,0.7391584937101037,0.27103137257858884
0.08825,0.3870807540008645,0.7445986016795249,1.0452484741835608,1.2660685375164429,1.3901938796955964,1.4081445515757178,1.3185495885047869,1.1282517163812897,0.8517847452920203,0.510263564269869,0.1498315101178778,0.5544270776231037,1.092544372783062,1.6029295416890246,1.9326390231430943,1.9828710781323795,1.738573017346143,1.2729519355173262,0.7255372523121919,0.2603689050213907
0.0885,0.38814894014628387,0.7464862818304824,1.0474900925175374,1.2680419148019537,1.3912023687551238,1.4075121731066251,1.3157186609339646,1.1228719901617894,0.8437836594680129,0.4998889180303369,0.15065959973668347,0.5572417689610983,1.0972354939223992,1.6079302976946053,1.9354440308298675,1.9810905174433342,1.7311155947298649,1.2608415062898977,0.7119708639852316,0.2498889303695409
0.08875,0.389216886861935,0.7483721201007456,1.0497258955532391,1.2700027770256948,1.392189403753126,1.4068485386216123,1.3128479649938336,1.1174479348787825,0.8357404142767686,0.4894834362876537,0.1514897850184963,0.5600608301440848,1.1019244557950498,1.6129070536529766,1.9381913359224843,1.9792228106217662,1.7235697791884501,1.2486898871648557,0.6984620400555048,0.2395940343999695
