angle_index,x_vertex,theta_deg,is_ge_170
72,0.01825,0.09310694023523419,False
73,0.0185,0.09484507396836135,False
74,0.01875,0.09660562905296226,False
75,0.019,0.09838918024672774,False
76,0.01925,0.10019631661822133,False
77,0.0195,0.10202764204803609,False
78,0.01975,0.1038837756879828,False
79,0.02,0.10576535246774293,False
80,0.02025,0.10767302354977601,False
81,0.0205,0.10960745690609235,False
82,0.02075,0.11156933779051756,False
83,0.021,0.11355936936326547,False
84,0.02125,0.11557827319096124,False
85,0.021500000000000002,0.11762678988445965,False
86,0.021750000000000002,0.11970567966858778,False
87,0.022,0.12181572303731691,False
88,0.02225,0.12395772137101269,False
89,0.0225,0.1261324976252135,False
90,0.02275,0.1283408970091838,False
91,0.023,0.130583787669377,False
92,0.02325,0.13286206146189314,False
93,0.0235,0.1351766346676899,False
94,0.02375,0.1375284487697119,False
95,0.024,0.13991847128021306,False
96,0.02425,0.14234769652020074,False
97,0.0245,0.1448171465045574,False
98,0.02475,0.14732787177839143,False
99,0.025,0.14988095235684837,False
100,0.02525,0.1524774985842216,False
101,0.025500000000000002,0.1551186521419699,False
102,0.025750000000000002,0.15780558700680913,False
103,0.026000000000000002,0.16053951044871353,False
104,0.02625,0.16332166404578688,False
105,0.0265,0.1661533247675409,False
106,0.02675,0.16903580606033478,False
107,0.027,0.17197045894010193,False
108,0.02725,0.17495867314605196,False
109,0.0275,0.1780018783087578,False
110,0.02775,0.18110154515553306,False
111,0.028,0.18425918671655686,False
112,0.02825,0.18747635957488662,False
113,0.0285,0.1907546651699548,False
114,0.02875,0.19409575106390897,False
115,0.029,0.1975013122850175,False
116,0.02925,0.20097309266642352,False
117,0.029500000000000002,0.20451288622221786,False
118,0.029750000000000002,0.2081225385242013,False
119,0.03,0.21180394811695447,False
120,0.03025,0.21555906792303595,False
121,0.0305,0.21938990668841452,False
122,0.03075,0.22329853038939293,False
123,0.031,0.22728706370655974,False
124,0.03125,0.2313576914445308,False
125,0.0315,0.2355126599570551,False
126,0.03175,0.23975427860358406,False
127,0.032,0.24408492109412827,False
128,0.03225,0.2485070269294495,False
129,0.0325,0.25302310270481854,False
130,0.03275,0.257635723411748,False
131,0.033,0.26234753370422975,False
132,0.03325,0.2671612490599826,False
133,0.0335,0.2720796568821499,False
134,0.03375,0.277105617527503,False
135,0.034,0.28224206520599904,False
136,0.03425,0.287492008721905,False
137,0.0345,0.292858532161951,False
138,0.03475,0.2983447953144557,False
139,0.035,0.3039540339585482,False
140,0.035250000000000004,0.3096895599404296,False
141,0.035500000000000004,0.3155547609411717,False
142,0.035750000000000004,0.3215531000672983,False
143,0.036000000000000004,0.327688115033882,False
144,0.03625,0.3339634170680696,False
145,0.0365,0.3403826893773732,False
146,0.03675,0.3469496852209198,False
147,0.037,0.35366822546268084,False
148,0.03725,0.36054219560639844,False
149,0.0375,0.3675755422217558,False
150,0.03775,0.3747722687334206,False
151,0.038,0.3821364304652703,False
152,0.03825,0.3896721288770729,False
153,0.0385,0.3973835049354934,False
154,0.03875,0.4052747315101386,False
155,0.039,0.4133500047260099,False
156,0.03925,0.4216135341170016,False
157,0.0395,0.430069531579405,False
158,0.03975,0.43872219889000086,False
159,0.04,0.44757571376881033,False
160,0.04025,0.4566342142963219,False
161,0.0405,0.46590178161003526,False
162,0.04075,0.4753824206804435,False
163,0.041,0.48508003904904123,False
164,0.04125,0.49499842341339856,False
165,0.0415,0.5051412138299871,False
166,0.04175,0.515511875452548,False
167,0.042,0.526113667560127,False
168,0.04225,0.5369496098528874,False
169,0.0425,0.5480224456667402,False
170,0.04275,0.5593346021144997,False
171,0.043000000000000003,0.5708881469638929,False
172,0.043250000000000004,0.582684742028714,False
173,0.043500000000000004,0.5947255931091431,False
174,0.043750000000000004,0.6070113962407802,False
175,0.044,0.61954228025404,False
176,0.04425,0.6323177455852688,False
177,0.0445,0.6453365993416105,False
178,0.04475,0.6585968866452013,False
179,0.045,0.6720958183957051,False
180,0.04525,0.6858296955466178,False
181,0.0455,0.6997938302826653,False
182,0.04575,0.7139824641998381,False
183,0.046,0.7283886841906321,False
184,0.04625,0.7430043363037468,False
185,0.0465,0.7578199384765608,False
186,0.04675,0.7728245927308734,False
187,0.047,0.7880058979257075,False
188,0.04725,0.8033498640519695,False
189,0.0475,0.8188408293648995,False
190,0.04775,0.8344613817646868,False
