n,d,R_survie_empirique,R_survie_exponentielle
0,0.07559989208491406,0.886,0.6007287179283066
0,0.0755998920849142,0.8855,0.6007287179283064
0,0.07559989208491434,0.88525,0.6007287179283061
0,0.07559989208491467,0.88475,0.6007287179283055
0,0.07559989208491484,0.88425,0.6007287179283052
0,0.07559989208491502,0.884,0.6007287179283048
0,0.0755998920849154,0.8835,0.6007287179283042
0,0.07559989208491559,0.883,0.6007287179283038
0,0.0755998920849158,0.88275,0.6007287179283034
0,0.07559989208491628,0.88225,0.6007287179283026
0,0.07559989208491652,0.88175,0.6007287179283022
0,0.07559989208491678,0.8815,0.6007287179283016
0,0.07559989208491737,0.881,0.6007287179283006
0,0.07559989208491766,0.8805,0.6007287179283001
0,0.07559989208491798,0.88025,0.6007287179282995
0,0.07559989208491867,0.87975,0.6007287179282982
0,0.07559989208491903,0.87925,0.6007287179282975
0,0.07559989208491942,0.879,0.6007287179282969
0,0.07559989208492027,0.8785,0.6007287179282953
0,0.0755998920849207,0.878,0.6007287179282945
0,0.07559989208492118,0.87775,0.6007287179282937
0,0.0755998920849222,0.87725,0.6007287179282919
0,0.07559989208492274,0.87675,0.6007287179282909
0,0.0755998920849233,0.8765,0.6007287179282897
0,0.07559989208492454,0.876,0.6007287179282875
0,0.0755998920849252,0.8755,0.6007287179282863
0,0.07559989208492589,0.87525,0.6007287179282851
0,0.07559989208492737,0.87475,0.6007287179282824
0,0.07559989208492814,0.84275,0.600728717928281
0,0.07559989208492815,0.84075,0.600728717928281
0,0.07559989208492816,0.83975,0.600728717928281
0,0.07559989208492818,0.8385,0.600728717928281
0,0.07559989208492819,0.838,0.6007287179282809
0,0.07559989208492822,0.8375,0.6007287179282809
0,0.07559989208492823,0.83725,0.6007287179282808
0,0.07559989208492825,0.83675,0.6007287179282808
0,0.07559989208492826,0.8365,0.6007287179282808
0,0.07559989208492827,0.83625,0.6007287179282808
0,0.07559989208492829,0.836,0.6007287179282806
0,0.07559989208492832,0.83575,0.6007287179282806
0,0.07559989208492833,0.8355,0.6007287179282806
0,0.07559989208492836,0.83525,0.6007287179282806
0,0.07559989208492837,0.835,0.6007287179282805
0,0.07559989208492841,0.83475,0.6007287179282804
0,0.07559989208492843,0.8345,0.6007287179282804
0,0.07559989208492846,0.83425,0.6007287179282804
0,0.07559989208492851,0.834,0.6007287179282803
0,0.07559989208492854,0.83375,0.6007287179282803
0,0.0755998920849286,0.8335,0.6007287179282802
0,0.07559989208492865,0.83325,0.60072871792828
0,0.0755998920849287,0.833,0.60072871792828
0,0.07559989208492875,0.83275,0.6007287179282799
0,0.07559989208492882,0.8325,0.6007287179282798
0,0.0755998920849289,0.83225,0.6007287179282796
0,0.07559989208492898,0.832,0.6007287179282794
0,0.07559989208492901,0.83175,0.6007287179282793
0,0.07559989208492908,0.8315,0.6007287179282793
0,0.07559989208492918,0.83125,0.6007287179282791
0,0.07559989208492927,0.831,0.600728717928279
0,0.07559989208492941,0.83075,0.6007287179282786
0,0.07559989208492954,0.8305,0.6007287179282784
0,0.07559989208492977,0.83025,0.600728717928278
0,0.07559989208492986,0.83,0.6007287179282779
0,0.07559989208493013,0.82975,0.6007287179282773
0,0.07559989208493025,0.8295,0.6007287179282772
0,0.07559989208493059,0.82925,0.6007287179282765
0,0.07559989208493072,0.829,0.6007287179282762
0,0.07559989208493081,0.8285,0.6007287179282761
0,0.07559989208493113,0.82825,0.6007287179282755
0,0.0755998920849313,0.828,0.6007287179282752
0,0.07559989208493179,0.8275,0.6007287179282743
0,0.0755998920849318,0.82725,0.6007287179282743
0,0.07559989208493198,0.827,0.600728717928274
0,0.07559989208493259,0.82675,0.6007287179282729
0,0.0755998920849328,0.8265,0.6007287179282724
0,0.07559989208493281,0.82625,0.6007287179282724
0,0.07559989208493358,0.826,0.6007287179282711
0,0.07559989208493385,0.82575,0.6007287179282705
0,0.07559989208493477,0.8255,0.6007287179282689
0,0.07559989208493498,0.825,0.6007287179282685
0,0.0755998920849351,0.82475,0.6007287179282683
0,0.07559989208493616,0.82425,0.6007287179282663
0,0.07559989208493621,0.824,0.6007287179282662
0,0.07559989208493662,0.82375,0.6007287179282655
0,0.07559989208493739,0.8235,0.6007287179282641
0,0.07559989208493796,0.82325,0.6007287179282631
0,0.07559989208493846,0.823,0.6007287179282621
0,0.07559989208494003,0.8225,0.6007287179282593
0,0.0755998920849401,0.82225,0.6007287179282592
0,0.07559989208494071,0.822,0.600728717928258
0,0.07559989208494146,0.8215,0.6007287179282567
0,0.07559989208494267,0.82125,0.6007287179282546
0,0.07559989208494294,0.821,0.600728717928254
0,0.07559989208494342,0.82075,0.6007287179282531
0,0.07559989208494491,0.80475,0.6007287179282504
0,0.07559989208494493,0.80375,0.6007287179282504
0,0.07559989208494496,0.80325,0.6007287179282503
0,0.07559989208494497,0.803,0.6007287179282503
0,0.07559989208494498,0.80275,0.6007287179282502
0,0.075599892084945,0.8025,0.6007287179282502
0,0.07559989208494501,0.80225,0.6007287179282502
0,0.07559989208494503,0.802,0.6007287179282501
0,0.07559989208494507,0.80175,0.6007287179282501
0,0.0755998920849451,0.8015,0.6007287179282501
0,0.07559989208494515,0.80125,0.60072871792825
0,0.07559989208494518,0.801,0.6007287179282499
0,0.07559989208494525,0.80075,0.6007287179282498
0,0.07559989208494533,0.8005,0.6007287179282497
0,0.07559989208494544,0.80025,0.6007287179282494
0,0.07559989208494554,0.8,0.6007287179282492
0,0.07559989208494569,0.79975,0.600728717928249
0,0.0755998920849458,0.7995,0.6007287179282488
0,0.07559989208494586,0.79925,0.6007287179282487
0,0.07559989208494607,0.799,0.6007287179282483
0,0.07559989208494615,0.7985,0.6007287179282481
0,0.07559989208494633,0.79825,0.6007287179282478
0,0.07559989208494663,0.798,0.6007287179282472
0,0.07559989208494669,0.79775,0.6007287179282471
0,0.07559989208494704,0.7975,0.6007287179282466
0,0.07559989208494751,0.79725,0.6007287179282457
0,0.07559989208494787,0.79675,0.600728717928245
0,0.07559989208494808,0.7965,0.6007287179282447
0,0.07559989208494877,0.79625,0.6007287179282433
0,0.07559989208494959,0.796,0.6007287179282419
0,0.0755998920849496,0.79575,0.6007287179282419
0,0.07559989208494966,0.7955,0.6007287179282418
0,0.07559989208495062,0.79525,0.60072871792824
0,0.07559989208495066,0.795,0.6007287179282399
0,0.07559989208495153,0.7945,0.6007287179282383
0,0.07559989208495188,0.79425,0.6007287179282378
0,0.07559989208495341,0.794,0.6007287179282349
0,0.07559989208495418,0.79375,0.6007287179282336
0,0.07559989208495524,0.7935,0.6007287179282316
0,0.07559989208495546,0.79325,0.6007287179282312
0,0.07559989208495559,0.79275,0.6007287179282309
0,0.07559989208495747,0.7925,0.6007287179282275
0,0.07559989208495776,0.79225,0.600728717928227
0,0.07559989208495974,0.792,0.6007287179282234
0,0.07559989208496004,0.7915,0.6007287179282228
0,0.07559989208496018,0.79125,0.6007287179282226
0,0.07559989208496128,0.791,0.6007287179282206
0,0.07559989208496347,0.79075,0.6007287179282166
0,0.07559989208496495,0.79025,0.6007287179282139
0,0.07559989208496644,0.79,0.6007287179282111
0,0.07559989208496744,0.78975,0.6007287179282094
0,0.07559989208496758,0.7895,0.6007287179282091
0,0.07559989208497031,0.78925,0.6007287179282041
0,0.07559989208497032,0.78875,0.6007287179282041
