paire,index,temps,distance
1-2,4179,41.79,0.13625026196168713
1-2,4263,42.63,0.13625736404085792
1-2,4347,43.47,0.13626391346248984
1-2,4431,44.31,0.13628971047165847
1-2,4515,45.15,0.13634776210376767
1-2,4599,45.99,0.13644635816951559
1-2,4683,46.83,0.13659036454366502
1-2,4767,47.67,0.13678202890947547
1-2,4851,48.51,0.137021566814484
1-2,4935,49.35,0.13730788362636187
1-2,5019,50.19,0.13764032168597914
1-2,5103,51.03,0.1380246350669213
1-2,5187,51.870000000000005,0.13849791653694962
1-2,5271,52.71,0.13926572152986444
1-2,5355,53.550000000000004,0.1420229207853261
1-3,1745,17.45,0.14330786541036822
1-2,151,1.51,0.15276939009476664
1-3,1641,16.41,0.15779367868497035
1-3,1536,15.36,0.16146569270703007
1-3,1431,14.31,0.16357989244517548
1-3,1326,13.26,0.1652016539760014
1-3,1221,12.21,0.166754239624074
1-3,1116,11.16,0.168758546181765
1-3,1012,10.120000000000001,0.17235546118575243
1-3,576,5.76,0.180313267973507
1-3,123,1.23,0.20053666648689647
2-3,2182,21.82,0.20984502852749332
2-3,2267,22.67,0.21527018885313973
2-3,2353,23.53,0.2167740940273713
2-3,2438,24.38,0.21757779684924378
2-3,2523,25.23,0.21817867900448484
2-3,2608,26.080000000000002,0.21869341255554994
2-3,2694,26.94,0.219092644285144
2-3,2779,27.79,0.21933062650446947
2-3,2864,28.64,0.21958720142770788
2-3,2949,29.490000000000002,0.21987334489036578
2-3,3034,30.34,0.22019985726855032
2-3,3119,31.19,0.22057953475289327
2-3,3205,32.05,0.22099323217408065
2-3,3290,32.9,0.2213170153539806
2-3,3375,33.75,0.22178521016680297
2-3,3460,34.6,0.2224988255833608
2-3,3545,35.45,0.22372526310667307
2-3,3631,36.31,0.22638994441033836
1-2,320,3.2,0.2330657750415034
2-3,3718,37.18,0.24063795405676158
1-2,5440,54.4,0.2644043799501647
1-2,491,4.91,0.2796144490511041
2-3,3735,37.35,0.31028309114281954
2-3,2122,21.22,0.3521711253666737
1-2,3732,37.32,0.3626570245850947
1-3,1803,18.03,0.4771399462688112
1-3,540,5.4,0.5054512836697305
1-2,543,5.43,0.5064100522290413
1-3,947,9.47,0.5415761373083111
1-3,105,1.05,0.5423286555077355
1-2,110,1.1,0.5834766568274836
1-3,2133,21.330000000000002,0.5836576216150394
2-3,1786,17.86,0.746611006055483
1-3,922,9.22,0.7560827928567474
2-3,2093,20.93,0.8813958361893862
1-3,1851,18.51,1.059047986929807
2-3,1745,17.45,1.2600050145793642
1-2,1017,10.17,1.4864544201516436
1-3,5523,55.230000000000004,1.7717192977554423
2-3,5517,55.17,1.78850156592331
2-3,5344,53.44,1.9889025405278087
2-3,756,7.5600000000000005,2.031714497860137
2-3,326,3.2600000000000002,2.04109849045663
1-2,3618,36.18,2.195418746291652
2-3,3857,38.57,2.2688245653785737
2-3,1637,16.37,2.416350400378776
1-3,2266,22.66,2.4866949706320596
1-2,1126,11.26,2.5105853108183247
1-3,5596,55.96,2.7452033347253666
2-3,5588,55.88,2.782729731075072
1-3,5276,52.76,2.8151317791021837
2-3,5254,52.54,2.9040047789869745
2-3,1198,11.98,2.9484516709915485
2-3,1529,15.290000000000001,3.0186589225461256
1-3,3925,39.25,3.028431310629294
1-2,1236,12.36,3.0405765339805826
1-2,3528,35.28,3.0519269298348415
2-3,3948,39.480000000000004,3.1087460670012783
1-2,1462,14.620000000000001,3.151048296451237
1-2,1347,13.47,3.2427414770101723
2-3,1312,13.120000000000001,3.2654798955784576
1-3,2353,23.53,3.2761760718236363
2-3,1421,14.21,3.2846025934255696
1-2,2388,23.88,3.484038044319511
1-3,3474,34.74,3.5325279634899487
1-3,5668,56.68,3.537958154939053
1-3,5190,51.9,3.539095214439181
2-3,5166,51.660000000000004,3.5765635775225575
2-3,5657,56.57,3.58371820058957
1-2,3440,34.4,3.684551104736612
1-3,4010,40.1,3.7010521870719546
