time,energy,kinetic,potential,energy_rel_error,momentum_x,momentum_y,momentum_norm,angular_momentum_z,angular_rel_error
60.21,-1.8744562583296138,0.6623665428961367,-2.5368228012257505,2.410904772152168e-07,-2.398081733190338e-14,4.551914400963142e-15,2.4409004990368068e-14,-0.8365333322040861,1.349913035460178e-09
60.22,-1.874456258330523,0.6034470898388798,-2.477903348169403,2.410909623014237e-07,-2.4119595209981526e-14,4.551914400963142e-15,2.454536204269677e-14,-0.8365333322044501,1.3494778559936e-09
60.230000000000004,-1.8744562583298343,0.5513453109831522,-2.4258015693129864,2.410905948441798e-07,-2.400857290751901e-14,4.6629367034256575e-15,2.4457198362768577e-14,-0.8365333322040774,1.3499233873962538e-09
60.24,-1.874456258331242,0.505147035436149,-2.379603293767391,2.410913458689788e-07,-2.3953061756287752e-14,4.440892098500626e-15,2.4361253870255944e-14,-0.8365333322047446,1.3491258901670175e-09
60.25,-1.874456258331033,0.46411282652420927,-2.338569084855242,2.4109123428138247e-07,-2.400857290751901e-14,4.385380947269368e-15,2.440580134124526e-14,-0.8365333322045168,1.3493982257160927e-09
60.26,-1.8744562583311575,0.4276390651265347,-2.302095323457692,2.4109130073641595e-07,-2.403632848313464e-14,4.551914400963142e-15,2.4463544544134344e-14,-0.8365333322041724,1.3498099142508058e-09
60.27,-1.8744562583327085,0.3952292159138909,-2.2696854742465993,2.410921281667347e-07,-2.4119595209981526e-14,4.6074255521944e-15,2.4555717120710965e-14,-0.8365333322047889,1.3490729360324752e-09
60.28,-1.8744562583308215,0.3664723036445046,-2.240928561975326,2.410911215092045e-07,-2.400857290751901e-14,4.6629367034256575e-15,2.4457198362768577e-14,-0.8365333322041115,1.349882643237596e-09
60.29,-1.8744562583322755,0.34102658489097853,-2.215482843223254,2.4109189717330283e-07,-2.403632848313464e-14,4.551914400963142e-15,2.4463544544134344e-14,-0.8365333322045947,1.3493050582914091e-09
60.300000000000004,-1.8744562583332203,0.318607025254108,-2.1930632835873283,2.41092401212817e-07,-2.4064084058750268e-14,4.6074255521944e-15,2.4501194089382922e-14,-0.8365333322048875,1.3489550832217641e-09
60.31,-1.8744562583307378,0.29897560670644524,-2.173431865037183,2.410910768504743e-07,-2.403632848313464e-14,4.551914400963142e-15,2.4463544544134344e-14,-0.8365333322042118,1.3497627996699475e-09
60.32,-1.874456258332434,0.28193377067194364,-2.1563900290043776,2.4109198175243634e-07,-2.403632848313464e-14,4.496403249731884e-15,2.4453276449861458e-14,-0.8365333322042106,1.3497642595583683e-09
60.33,-1.8744562583362554,0.267316496193435,-2.1417727545296903,2.410940204175453e-07,-2.4064084058750268e-14,4.496403249731884e-15,2.4480559302654795e-14,-0.836533332205726,1.3479526707450755e-09
60.34,-1.8744562583247313,0.25498764827740134,-2.1294439066021327,2.4108787243851256e-07,-2.403632848313464e-14,4.551914400963142e-15,2.4463544544134344e-14,-0.8365333322037065,1.350366795324841e-09
60.35,-1.8744562583325046,0.24483632838337221,-2.119292586715877,2.410920194221345e-07,-2.403632848313464e-14,4.551914400963142e-15,2.4463544544134344e-14,-0.8365333322042828,1.349677860707273e-09
60.36,-1.874456258334262,0.23677402881140203,-2.111230287145664,2.4109295701855153e-07,-2.400857290751901e-14,4.6629367034256575e-15,2.4457198362768577e-14,-0.8365333322048374,1.3490149386470239e-09
60.370000000000005,-1.8744562583335425,0.2307324450895435,-2.105188703423086,2.4109257309562193e-07,-2.3953061756287752e-14,4.718447854656915e-15,2.4413375793971044e-14,-0.8365333322046697,1.349215341512084e-09
60.38,-1.874456258325733,0.22666183875742457,-2.1011180970831576,2.410884068033183e-07,-2.400857290751901e-14,4.6074255521944e-15,2.4446675505570685e-14,-0.8365333322038204,1.3502306275503033e-09
60.39,-1.8744562583342248,0.22452987350418074,-2.0989861318384055,2.4109293711757893e-07,-2.403632848313464e-14,4.551914400963142e-15,2.4463544544134344e-14,-0.8365333322044212,1.3495124951643158e-09
60.4,-1.874456258340876,0.22432087139405726,-2.098777129734933,2.410964854136087e-07,-2.400857290751901e-14,4.718447854656915e-15,2.4467842635033687e-14,-0.8365333322064253,1.3471166855483771e-09
60.410000000000004,-1.8744562583437454,0.2260354559896598,-2.100491714333405,2.4109801624854203e-07,-2.398081733190338e-14,4.829470157119431e-15,2.4462284887242746e-14,-0.8365333322068464,1.3466132894774013e-09
60.42,-1.8744562582990492,0.2296905665986944,-2.1041468248977435,2.4107417132963236e-07,-2.3953061756287752e-14,4.6074255521944e-15,2.4392161399095997e-14,-0.8365333322019824,1.3524277596238611e-09
60.43,-1.8744562583325781,0.23531984432927786,-2.109776102661856,2.410920586317888e-07,-2.3953061756287752e-14,4.496403249731884e-15,2.437143429683067e-14,-0.83653333220435,1.3495975668441195e-09
60.44,-1.8744562583346827,0.24297440682242727,-2.11743066515711,2.4109318137832583e-07,-2.3953061756287752e-14,4.496403249731884e-15,2.437143429683067e-14,-0.836533332204742,1.3491289426609886e-09
60.45,-1.8744562583424411,0.25272404661240516,-2.1271803049548463,2.410973204252504e-07,-2.3953061756287752e-14,4.440892098500626e-15,2.4361253870255944e-14,-0.8365333322071613,1.3462369036990497e-09
60.46,-1.8744562583164097,0.26465890770591494,-2.1391151660223247,2.4108343298166846e-07,-2.398081733190338e-14,4.385380947269368e-15,2.4378498025079206e-14,-0.8365333322037853,1.3502725661631238e-09
60.47,-1.8744562583312012,0.2788917199735099,-2.153347978304711,2.4109132407267546e-07,-2.3953061756287752e-14,4.440892098500626e-15,2.4361253870255944e-14,-0.8365333322042068,1.3497687719407604e-09
60.480000000000004,-1.874456258333411,0.29556070085787706,-2.170016959191288,2.410925029683852e-07,-2.3953061756287752e-14,4.551914400963142e-15,2.4381736858030245e-14,-0.8365333322048415,1.3490100281132443e-09
60.49,-1.8744562583366358,0.3148332747033839,-2.1892895330400197,2.4109422333639084e-07,-2.3925306180672123e-14,4.440892098500626e-15,2.4333963887320804e-14,-0.8365333322062121,1.34737163515353e-09
60.5,-1.874456258324054,0.33691081187066063,-2.2113670701947146,2.410875111410935e-07,-2.3925306180672123e-14,4.385380947269368e-15,2.432389446391307e-14,-0.8365333322049597,1.3488686843706687e-09
60.51,-1.8744562583342945,0.36203466255064076,-2.2364909208849353,2.4109297431344437e-07,-2.3925306180672123e-14,4.385380947269368e-15,2.432389446391307e-14,-0.836533332204179,1.3498019512230552e-09
60.52,-1.874456258343939,0.3904938585989556,-2.2649501169428947,2.4109811954406643e-07,-2.3953061756287752e-14,4.274358644806853e-15,2.4331446922141108e-14,-0.8365333322108852,1.3417853057521285e-09
60.53,-1.8744562583355227,0.4226349971432378,-2.2970912554787604,2.410936295055837e-07,-2.3897550605056495e-14,4.107825191113079e-15,2.424803399704766e-14,-0.8365333322077932,1.345481477799763e-09
60.54,-1.8744562583239117,0.4588750184519245,-2.3333312767758363,2.410874352094064e-07,-2.3925306180672123e-14,4.218847493575595e-15,2.4294422199611103e-14,-0.8365333322038304,1.3502186830086772e-09
60.550000000000004,-1.8744562583293796,0.4997178787587991,-2.3741741370881786,2.410903522418473e-07,-2.3897550605056495e-14,4.385380947269368e-15,2.429659422581505e-14,-0.8365333322059618,1.3476707795626993e-09
60.56,-1.874456258333515,0.5457765494421932,-2.420232807775708,2.410925584068088e-07,-2.3925306180672123e-14,4.385380947269368e-15,2.432389446391307e-14,-0.8365333322065828,1.3469284926592013e-09
60.57,-1.8744562583221147,0.5978024153173447,-2.4722586736394594,2.4108647652743505e-07,-2.3953061756287752e-14,4.274358644806853e-15,2.4331446922141108e-14,-0.8365333322040355,1.3499735544710836e-09
60.58,-1.8744562583306628,0.6567251385600474,-2.53118139689071,2.410910368116128e-07,-2.3953061756287752e-14,4.107825191113079e-15,2.4302744604288588e-14,-0.836533332207676,1.345621627088176e-09
60.59,-1.8744562583288205,0.7237076171112024,-2.5981638754400227,2.410900539641747e-07,-2.3925306180672123e-14,4.274358644806853e-15,2.430412347037726e-14,-0.8365333322073659,1.3459923060299729e-09
60.6,-1.874456258322438,0.8002231879971976,-2.6746794463196357,2.4108664900253085e-07,-2.3925306180672123e-14,4.163336342344337e-15,2.4284843943052072e-14,-0.8365333322054169,1.3483221552327096e-09
60.61,-1.8744562583337327,0.8881664177859638,-2.7626226761196966,2.410926746142738e-07,-2.3953061756287752e-14,4.274358644806853e-15,2.4331446922141108e-14,-0.8365333322080577,1.3451653455980587e-09
60.620000000000005,-1.8744562583190916,0.990016019275225,-2.8644722775943166,2.4108486371944797e-07,-2.3925306180672123e-14,3.9968028886505635e-15,2.4256848706491806e-14,-0.8365333322054623,1.3482678739268755e-09
60.63,-1.8744562583140991,1.1090812328125812,-2.9835374911266803,2.410822003059495e-07,-2.3953061756287752e-14,4.274358644806853e-15,2.4331446922141108e-14,-0.8365333322047126,1.3491641127002211e-09
60.64,-1.8744562583217295,1.24988678606182,-3.1243430443835494,2.410862710025098e-07,-2.3897550605056495e-14,4.274358644806853e-15,2.4276800999012845e-14,-0.8365333322056097,1.3480917582964549e-09
60.65,-1.8744562583094841,1.4187978688146108,-3.293254127124095,2.410797382713403e-07,-2.3925306180672123e-14,4.496403249731884e-15,2.4344155726233497e-14,-0.8365333322043388,1.3496109712741667e-09
60.660000000000004,-1.8744562583038076,1.625082209121039,-3.4995384674248466,2.4107670988821946e-07,-2.3925306180672123e-14,4.551914400963142e-15,2.4354469826966123e-14,-0.8365333322032984,1.3508546634917027e-09
60.67,-1.8744562583007451,1.8828178623351586,-3.7572741206359037,2.4107507611313625e-07,-2.3897550605056495e-14,4.274358644806853e-15,2.4276800999012845e-14,-0.8365333322033349,1.3508109995562028e-09
60.68,-1.8744562582987698,2.214564186614386,-4.089020444913156,2.410740223092543e-07,-2.3897550605056495e-14,4.163336342344337e-15,2.4257499756172754e-14,-0.8365333322035575,1.350544901712199e-09
60.69,-1.8744562583045292,2.6590738003683443,-4.5335300586728735,2.410770948772726e-07,-2.3869795029440866e-14,4.6074255521944e-15,2.431039870027914e-14,-0.836533332204167,1.3498162846730065e-09
60.7,-1.8744562583016346,3.2894937754801177,-5.163950033781752,2.4107555065656604e-07,-2.3869795029440866e-14,4.3298697960381105e-15,2.4259325777897516e-14,-0.836533332204172,1.3498103124021936e-09
60.71,-1.8744562582905298,4.263919661946205,-6.138375920236735,2.410696263265586e-07,-2.378652830259398e-14,4.218847493575595e-15,2.415776485654568e-14,-0.8365333322032726,1.3508854538656723e-09
60.72,-1.8744562583276219,6.00525205114083,-7.879708309468452,2.4108941452697206e-07,-2.3814283878209608e-14,3.83026943495679e-15,2.4120345780612645e-14,-0.8365333322057822,1.3478855158777108e-09
60.730000000000004,-1.874456258230186,10.19103748933916,-12.065493747569347,2.4103743366039585e-07,-2.403632848313464e-14,4.440892098500626e-15,2.444313011010813e-14,-0.836533332203177,1.3509997233138954e-09
60.74,-1.8744562583457736,32.84545244877644,-34.719908707122215,2.410990982454685e-07,-2.42861286636753e-14,6.050715484207103e-15,2.5028527790092142e-14,-0.836533332203174,1.3510033066763832e-09
60.75,-1.8744562589917741,13.719283042174775,-15.593739301166549,2.414437319168232e-07,-2.681188604469753e-14,6.106226635438361e-15,2.7498422445609186e-14,-0.8365333322061381,1.3474600247615631e-09
60.76,-1.874456259990942,7.038326021150545,-8.912782281141487,2.4197677615085694e-07,-2.6728619317850644e-14,6.106226635438361e-15,2.741724082328336e-14,-0.8365333322014685,1.3530421072148306e-09
60.77,-1.874456259983825,4.761891366062159,-6.636347626045984,2.419729793295861e-07,-2.6617597015388128e-14,6.38378239159465e-15,2.7372415832308863e-14,-0.8365333322004043,1.3543143336151402e-09
60.78,-1.8744562599853882,3.585782031628373,-5.460238291613761,2.419738132751042e-07,-2.634004125923184e-14,6.661338147750939e-15,2.7169306201239617e-14,-0.836533332201646,1.3528298925252733e-09
60.79,-1.8744562599938202,2.8566110831435227,-4.731067343137343,2.419783116056589e-07,-2.6395552410463097e-14,6.494804694057166e-15,2.7182856271323866e-14,-0.8365333322010732,1.353514712911837e-09
60.800000000000004,-1.8744562600147265,2.3558187956839216,-4.230275055698648,2.419894649162147e-07,-2.6478819137309983e-14,6.772360450213455e-15,2.7331167720644297e-14,-0.8365333322026947,1.351576379240178e-09
60.81,-1.8744562599983556,1.9886256161389428,-3.8630818761372985,2.4198073123224315e-07,-2.6478819137309983e-14,6.8833827526759706e-15,2.7358889250592948e-14,-0.8365333322006899,1.3539728524417626e-09
