time,x_1,y_1,vx_1,vy_1,x_2,y_2,vx_2,vy_2,x_3,y_3,vx_3,vy_3
39.480000000000004,-1.272345764227617,0.16269995219842384,-0.9719969323435739,0.7167887287321382,-0.8716545547966845,0.2961840591544556,0.4546065156513554,-0.4481103604487394,2.144000319023682,-0.45888401135269147,0.5173904166922003,-0.26867836828339514
39.49,-1.2817987094466226,0.1699511902961221,-0.9188861571875447,0.7330223569785949,-0.8673664285304988,0.291617606538384,0.4033114602233127,-0.46474355628518393,2.1491651379765013,-0.46156879683431806,0.5155746969642138,-0.26827880069340715
39.5,-1.290729134289968,0.17735217903391412,-0.8674697875064934,0.7467881293515599,-0.8635827050257346,0.2868974099321269,0.3537029042158081,-0.47890841656763317,2.1543118393150826,-0.46424958896585294,0.5137668832906669,-0.26787971278392303
39.51,-1.2991533071462948,0.18487963489975773,-0.8176143294610544,0.7583570683080423,-0.8602871946579027,0.28204675807449525,0.3056474110931591,-0.49087587833343493,2.1594405018035774,-0.46692639297406485,0.5119669183678772,-0.2674811899746038
39.52,-1.3070862103790142,0.19251276024090017,-0.769196032438343,0.7679567760922948,-0.8574649933116453,0.2770864546814322,0.25902127638520034,-0.5008734620181569,2.164551203690039,-0.4695992149221442,0.5101747560531245,-0.2670833140741344
39.53,-1.3145416360048539,0.20023284936269586,-0.7221004897860283,0.775779185075496,-0.8551023868072465,0.2720352123095376,0.21371012970583672,-0.5090930220908912,2.1696440228114793,-0.4722680616720452,0.5083903600801731,-0.26668616298460124
39.54,-1.3215322763059716,0.20802296365542378,-0.6762220596865518,0.7819866936641562,-0.8531867603814142,0.2669099771890216,0.16960835678701056,-0.5156968831852435,2.174719036686765,-0.47493294084425713,0.5066137028995231,-0.26628981047890904
39.550000000000004,-1.328069808288074,0.21586766170986668,-0.631463204619432,0.7867170578457987,-0.8517065143109774,0.2617261990659799,0.12661843998971287,-0.5208227318092346,2.17977632259843,-0.4775938607756583,0.504844764629701,-0.26589432603656055
39.56,-1.334164971187624,0.2237527730677461,-0.5877338080745507,0.7900873121196158,-0.8506509864775251,0.2564980574083771,0.08465027596943972,-0.5245875373920881,2.1848159576645276,-0.4802508304759349,0.5030835321050929,-0.2654997747275241
39.57,-1.339827637414836,0.2316652075041045,-0.54495050400993,0.7921969325209948,-0.8500103814871894,0.25123865207918195,0.04362050599869319,-0.5270907153870116,2.189838018901404,-0.4829038595830981,0.5013299980112188,-0.2651062171339797
39.58,-1.345066876772087,0.23959279261714767,-0.5030360380228894,0.7931303977339222,-0.8497757065067307,0.24596016570136936,0.003451877927256014,-0.528416688429862,2.194842583278196,-0.4855529583183287,0.4995841600956153,-0.2647137093040567
39.59,-1.3498910146170362,0.24752413472888327,-0.46191867058491054,0.7929592728683303,-0.8499387131473866,0.2406740027118451,-0.035927349862318714,-0.5286369701376439,2.199829727763801,-0.48819813744053997,0.497846020447211,-0.26432230273068286
39.6,-1.35430768410781,0.2554484983708522,-0.42153162604030314,0.7917439067757567,-0.850491845259734,0.23539090983010405,-0.07458395879479433,-0.527811862423215,2.204799529366922,-0.49083940820076777,0.49611558483507917,-0.2639320443525382
39.61,-1.3583238733857592,0.26335570142915876,-0.38181258838195387,0.7895348198264348,-0.8514281917846817,0.23012108086777744,-0.1125802737199532,-0.525991843255278,2.209752065169819,-0.4934767822967477,0.4943928621018887,-0.26354297657115316
39.62,-1.3619459677789783,0.271236022634237,-0.34270324204576175,0.7863738353510785,-0.8527414445778322,0.22487424919361473,-0.14997462155871605,-0.5232186980678842,2.214687412356188,-0.4961102718276632,0.4926778636044595,-0.26315513728319073
39.63,-1.365179787729872,0.27908011940906746,-0.3041488552589402,0.7822950018484751,-0.8544258605044582,0.21965976984044866,-0.18682174743853172,-0.5195264419247232,2.219605648233707,-0.49873988924932755,0.49097060269745363,-0.2627685599237483
39.64,-1.3680306226841394,0.28687895395478674,-0.2660979028431543,0.777325338696736,-0.8564762275680525,0.21448669337520945,-0.22317319141188524,-0.514942065176927,2.224506850251569,-0.5013656473298076,0.48927109425502135,-0.26238327351980545
39.65,-1.3705032614234358,0.2946237260447181,-0.22850172516550274,0.7714854338348923,-0.8588878345906348,0.20936383306112216,-0.2590776290611584,-0.5094861310835379,2.2293910960134475,-0.5039875591056516,0.48757935422664284,-0.2619993027513508
39.660000000000004,-1.372602019180261,0.3023058112085469,-0.19131422013876853,0.7647899146662508,-0.8616564441065231,0.20429982663039914,-0.2945811790848728,-0.5031732466476367,2.2342584632861606,-0.5066056378387573,0.48589539922362307,-0.26161666801861055
39.67,-1.3743307617649123,0.3099167029675258,-0.1544915654068502,0.7572478073684108,-0.8647782682400147,0.1993031940065776,-0.3297276807258475,-0.4960124218533871,2.2391090300043035,-0.5092198969739147,0.48421924613267947,-0.2612353855150202
39.68,-1.3756929271303786,0.3174479582450157,-0.1179919678213355,0.7488627989622553,-0.868249947141469,0.19438239185231573,-0.3645589439326665,-0.4880073316586611,2.243942874271224,-0.5118303500971427,0.48255091175398374,-0.2608554673035907
39.69,-1.3766915445072108,0.3248911449069908,-0.08177543837651252,0.7396334093972401,-0.8720685298498305,0.18954586598797266,-0.39911497408429114,-0.47915648800028315,2.2487600743564173,-0.5144370108947747,0.48089041246078545,-0.26047692139695344
39.7,-1.3773292513598416,0.3322377905370966,-0.04580359072890421,0.729553080198983,-0.8762314573303829,0.18480210257644206,-0.433434173149191,-0.46945332835854753,2.2535607086896006,-0.5170398931133499,0.479237763878077,-0.26009975184043205
39.71,-1.3776083085832782,0.3394793318601007,-0.010039461379135167,0.7186101855971467,-0.8807365472690906,0.1801596786604653,-0.46755351919922794,-0.45888622680156554,2.2583448558517443,-0.5196390105203772,0.47759298057834465,-0.25972395879557764
39.72,-1.3775306138820531,0.3466070637401144,0.025552648359246546,0.7067879645220728,-0.8855819806816467,0.17562731312599686,-0.5015087241510177,-0.44743842589583155,2.2631125945630752,-0.5222343768659223,0.47595607579175253,-0.25934953862623783
39.730000000000004,-1.3770977136672904,0.3536120871869654,0.06100730899162257,0.6940643740020458,-0.890766290001541,0.17121391865829533,-0.5353343701206775,-0.4350878900165691,2.267864003668207,-0.5248260058450718,0.4743270611290363,-0.2589764839854731
39.74,-1.3763108138313622,0.36048525546943877,0.09635807925714404,0.6804118629599183,-0.8962883482879358,0.16692865559198197,-0.5690640255722109,-0.4218070790580562,2.272599162118673,-0.5274139110612318,0.47270594631504836,-0.2586047839018587
