time,r12,r13,r23
62.77,0.24375582103206758,7.9724155614132295,8.210880871498675
62.78,0.21416648100640892,7.993612032504827,8.200161329050378
62.79,0.1811507533385363,8.016929453611072,8.187309826733589
62.800000000000004,0.143568485315942,8.043160262536727,8.171528943004695
62.81,0.09932569548846061,8.073874960913729,8.151236931339591
62.82,0.044729964919235955,8.112909745002217,8.122563134641407
62.83,0.048570182721412086,8.12926736870859,8.116627568317382
62.84,0.10246040478362932,8.111187187501706,8.145331511143224
62.85,0.14617491840601923,8.095774226822389,8.171334437648143
62.86,0.18341239045598517,8.082787060435463,8.194874785870587
62.870000000000005,0.21617785955793406,8.071621509494799,8.216561007081928
62.88,0.2455723261873845,8.061888838835669,8.236785339114867
62.89,0.2722747525694193,8.053331921985755,8.255807593811614
62.9,0.2967399195256226,8.045771261683448,8.273809374554444
62.910000000000004,0.3192909909594195,8.039075712189865,8.29092352838359
62.92,0.34016789532355096,8.033145927392955,8.307250812240438
62.93,0.3595548516637319,8.027904459051099,8.32286987033215
62.940000000000005,0.37759709429618804,8.023289522906992,8.3378435194593
62.95,0.3944115787506985,8.019250899801508,8.352222883985888
62.96,0.41009413101347536,8.015747140137066,8.36605021741303
62.97,0.4247243913648781,8.012743597318945,8.379360888204113
62.980000000000004,0.43836933475562323,8.01021100739005,8.392184814726514
62.99,0.45108584064626805,8.008124439698715,8.404547525828754
63.0,0.46292260939585517,8.006462506391314,8.416470960174012
63.01,0.47392161786412673,8.005206756741464,8.427974078944498
63.02,0.48411924282785607,8.004341206233727,8.43907334244002
63.03,0.49354714009863326,8.003851965749408,8.449783085538565
63.04,0.5022329408255298,8.00372694635897,8.460115816745642
63.050000000000004,0.510200808680942,8.003955622140865,8.470082458582745
63.06,0.5174718897437497,8.00452883813469,8.479692542336965
63.07,0.524064678300273,8.005438653939,8.488954366758557
63.08,0.5299953159952605,8.006678215799065,8.497875127937359
63.09,0.5352778375327442,8.008241651740411,8.50646102586234
63.1,0.5399243727578964,8.010123985670042,8.51471735178733
63.11,0.5439453128913323,8.012321067230628,8.522648559656021
63.120000000000005,0.5473494468801269,8.014829514934771,8.53025832408886
63.13,0.5501440723074313,8.017646670745362,8.537549586788744
63.14,0.5523350845588682,8.020770564591567,8.544524592896659
63.15,0.5539270468253885,8.024199887785363,8.551184918346873
63.160000000000004,0.5549232432090627,8.027933974448288,8.557531489126346
63.17,0.5553257161849771,8.03197279050355,8.563564592891789
63.18,0.5551352896991547,8.036316929793555,8.569283883394222
63.190000000000005,0.5543515783680677,8.040967617255328,8.574688377784119
63.2,0.552972983197609,8.045926719126442,8.579776446830186
63.21,0.550996673493521,8.051196760521831,8.584545797714384
