time,theta_deg
41.03,8.38918222229521
41.04,7.010391430719386
41.050000000000004,5.936652360103105
41.06,5.099563070001896
41.07,4.441519184615742
41.08,3.9183370332598377
41.09,3.4973017379783182
41.1,3.1544293005630624
41.11,2.8721168070508893
41.12,2.6373315026745634
41.13,2.440332264693609
41.14,2.273746002758797
41.15,2.131924177153958
41.160000000000004,2.010487092270348
41.17,1.9059966511112145
41.18,1.8157239082749406
41.19,1.7374791193825405
41.2,1.6694871723465006
41.21,1.6102952929133587
41.22,1.558705700241672
41.230000000000004,1.513722087851432
41.24,1.4745105841007815
41.25,1.4403711740357852
41.26,1.410711929334
41.27,1.3850327426443174
41.28,1.362909591500304
41.29,1.343984339977263
41.300000000000004,1.3279563703630661
41.31,1.3145727521074806
41.32,1.3036262119536404
41.33,1.2949472107152575
41.34,1.2884033085877162
41.35,1.2838945693185912
41.36,1.2813510471611391
41.37,1.2807333975045576
41.38,1.2820288828671198
41.39,1.285252563917024
41.4,1.2904484721832987
41.410000000000004,1.2976851085065548
41.42,1.307060961446361
41.43,1.3187039373330378
41.44,1.3327706209598185
41.45,1.3494519332806676
41.46,1.3689765138041
41.47,1.3916076440810736
41.480000000000004,1.4176561990345105
41.49,1.4474809590635687
41.5,1.4814968713791417
41.51,1.5201860309861968
41.52,1.5641044586927033
41.53,1.613900342068552
41.54,1.670327734290441
41.550000000000004,1.7342722178886214
41.56,1.8067748932168748
41.57,1.889070338756894
41.58,1.9826303581463793
41.59,2.08922208758987
41.6,2.2109811491253986
41.61,2.3505074058200055
41.62,2.5109875636456356
41.63,2.6963524223689204
41.64,2.9114831557325456
41.65,3.1624698174900296
41.660000000000004,3.456940187986407
41.67,3.804466926958273
41.68,4.217029087303086
41.69,4.709510156447008
41.7,5.30006155748588
41.71,6.010070698713741
41.72,6.863084588831252
41.730000000000004,7.881635047495068
41.74,9.080442249635606
41.75,10.454932829565873
41.76,11.9671930658434
41.77,13.538890615680186
41.78,15.066102927158678
41.79,16.451239359156254
