time,E12,E13,E23
37.26,1.7840564768141542,1.0584692779901506,-1.2003214021134712
37.27,2.1515511418512157,0.8529722755885745,-1.0925906771968394
37.28,2.593775219162091,0.6616186462619078,-0.9368691727393221
37.29,3.1979383365524696,0.488649770230821,-0.6710721272237459
37.300000000000004,4.2604061819684365,0.340046042443495,-0.03647172309997604
37.31,8.456631791379912,0.23253126585604988,4.570598528345622
37.32,-2.2454196081212974,0.20483366038813422,9.486624855060064
37.33,-2.2345888221270376,0.18050827644714573,6.00388554812048
37.34,-2.1109001597867616,0.14788697432499998,4.864381304269257
37.35,-2.0135537366764393,0.0949476781170242,4.280364827856085
37.36,-1.9415231921662242,0.01844205506063723,3.930235212332532
37.37,-1.8885137475155949,-0.07854331991013819,3.7056886608015107
37.38,-1.8489890927381873,-0.18945475059296601,3.5585026974745984
37.39,-1.8185799015137092,-0.30712315421301994,3.46335530201569
37.4,-1.794036649264625,-0.4255241360825517,3.405464715620945
37.410000000000004,-1.7730678551194772,-0.540297694081197,3.3755804892281707
37.42,-1.754127054661903,-0.648502609097025,3.367629654769277
37.43,-1.7362071944247108,-0.7480912414341405,3.3774665108704154
37.44,-1.7186758109679618,-0.8373630868167028,3.40212732336759
37.45,-1.7011583317792305,-0.9144640109706637,3.4393192611439396
37.46,-1.6834637859578623,-0.9768955749422565,3.4869907097595396
37.47,-1.6655443639089595,-1.0209500056231464,3.542861187369148
37.480000000000004,-1.6474821687947379,-1.0409534154008222,3.603767534029894
37.49,-1.6294996484386193,-1.0281666565877492,3.6646090902929696
37.5,-1.6119925559149175,-0.9691817761225264,3.7165378872917563
37.51,-1.5955831536238372,-0.8437886374673838,3.7438699598000587
37.52,-1.5811800387924277,-0.6230031099201263,3.7192613621371553
37.53,-1.5699941755393167,-0.27035418200188244,3.598151519727092
37.54,-1.5633814976552705,0.24511935790517558,3.3193372667461816
37.550000000000004,-1.562313785252531,0.9130138217068924,2.829810202464106
37.56,-1.5665125789340735,1.6387498552987838,2.1446529615859378
37.57,-1.5740338688392779,2.267158242793524,1.383031160900772
37.58,-1.5821652696214077,2.690302932910644,0.6958994786203745
37.59,-1.5888389766638493,2.9049532875336954,0.16436084679405782
37.6,-1.5931552639799662,2.9671871762517625,-0.21002600713985253
37.61,-1.595059693665955,2.9362845654706433,-0.4605117519737447
37.62,-1.5948848491799654,2.854321623217941,-0.6229870668650817
37.63,-1.593065790806166,2.7468971309396584,-0.7253975082566704
37.64,-1.5900144604966684,2.6285735915625503,-0.7872198242248643
37.65,-1.5860790310669386,2.507363092579424,-0.8215158761277803
