lag_hours,lag_days,C_T
983,40.958333333333336,0.2213699102754014
984,41.0,0.22136708629439278
985,41.041666666666664,0.2213592747039654
986,41.083333333333336,0.2213464773304806
987,41.125,0.22132869836697314
988,41.166666666666664,0.22130593613192334
989,41.208333333333336,0.22127819476018248
990,41.25,0.22124547478238493
991,41.291666666666664,0.22120777666959165
992,41.333333333333336,0.221165106936479
993,41.375,0.2211174625708857
994,41.416666666666664,0.22106484846590752
995,41.458333333333336,0.221007267407855
996,41.5,0.22094472244096977
997,41.541666666666664,0.22087721531491095
998,41.583333333333336,0.22080474736857966
999,41.625,0.2207273237585262
1000,41.666666666666664,0.22064494733162576
1001,41.708333333333336,0.22055761910500132
1002,41.75,0.22046534399881107
1003,41.791666666666664,0.22036812442849443
1004,41.833333333333336,0.22026596252818856
1005,41.875,0.22015886580949381
1006,41.916666666666664,0.22004683299166028
1007,41.958333333333336,0.21992987059847263
1008,42.0,0.21980798122734474
1009,42.041666666666664,0.21968116917966202
1010,42.083333333333336,0.21954943727390333
1011,42.125,0.2194127906884373
1012,42.166666666666664,0.21927123471074803
1013,42.208333333333336,0.21912477145213177
1014,42.25,0.2189734056181355
1015,42.291666666666664,0.21881714367069371
1016,42.333333333333336,0.21865598845652245
1017,42.375,0.218489944609483
1018,42.416666666666664,0.21831901401955847
1019,42.458333333333336,0.21814320583929558
1020,42.5,0.21796252438000235
1021,42.541666666666664,0.21777697154849687
1022,42.583333333333336,0.21758655592379317
1023,42.625,0.21739128114768064
1024,42.666666666666664,0.21719115048825485
1025,42.708333333333336,0.2169861719618603
1026,42.75,0.21677635233340706
1027,42.791666666666664,0.2165616942464292
1028,42.833333333333336,0.2163422051217972
1029,42.875,0.21611789009102392
1030,42.916666666666664,0.21588875521297893
1031,42.958333333333336,0.21565480504337847
1032,43.0,0.21541604824862234
1033,43.041666666666664,0.2151724904492912
1034,43.083333333333336,0.21492413589214718
1035,43.125,0.21467099182790297
1036,43.166666666666664,0.21441306422612805
1037,43.208333333333336,0.21415035905298221
1038,43.25,0.21388288779519388
1039,43.291666666666664,0.21361065352680486
1040,43.333333333333336,0.2133336607418074
1041,43.375,0.21305192080362942
1042,43.416666666666664,0.21276543764284483
1043,43.458333333333336,0.21247421887798643
1044,43.5,0.2121782723465901
1045,43.541666666666664,0.21187760616777143
1046,43.583333333333336,0.21157222751589794
1047,43.625,0.21126214231769844
1048,43.666666666666664,0.21094735705576506
1049,43.708333333333336,0.2106278834811514
1050,43.75,0.21030372465670846
1051,43.791666666666664,0.20997489256665788
1052,43.833333333333336,0.20964139502482004
1053,43.875,0.2093032367983399
1054,43.916666666666664,0.20896042915412175
1055,43.958333333333336,0.2086129757738211
1056,44.0,0.20826088926149777
1057,44.041666666666664,0.20790417796159844
1058,44.083333333333336,0.20754284811386195
1059,44.125,0.2071769106641074
1060,44.166666666666664,0.2068063720725565
1061,44.208333333333336,0.20643124090937112
1062,44.25,0.20605152750695555
1063,44.291666666666664,0.20566724184125623
1064,44.333333333333336,0.20527839121706362
1065,44.375,0.20488498466165903
1066,44.416666666666664,0.20448703256173123
1067,44.458333333333336,0.20408454530503076
1068,44.5,0.20367752845184564
1069,44.541666666666664,0.20326599539504756
1070,44.583333333333336,0.20284995241924872
1071,44.625,0.20242941048787705
1072,44.666666666666664,0.2020043795607933
1073,44.708333333333336,0.20157487098174476
1074,44.75,0.20114089179635156
1075,44.791666666666664,0.2007024548506462
1076,44.833333333333336,0.20025956848193113
1077,44.875,0.19981224343572176
1078,44.916666666666664,0.1993604925222655
1079,44.958333333333336,0.19890432206457076
1080,45.0,0.19844374253282268
1081,45.041666666666664,0.1979787678158724
1082,45.083333333333336,0.19750940588788235
1083,45.125,0.19703566921371077
1084,45.166666666666664,0.19655756818455974
1085,45.208333333333336,0.19607511253626841
1086,45.25,0.19558831583619263
1087,45.291666666666664,0.1950971880621951
1088,45.333333333333336,0.19460173871776945
1089,45.375,0.1941019816885266
1090,45.416666666666664,0.19359792645782653
1091,45.458333333333336,0.19308958587141875
1092,45.5,0.19257696966713359
1093,45.541666666666664,0.19206008998265992
1094,45.583333333333336,0.19153895915486754
1095,45.625,0.19101359020773456
1096,45.666666666666664,0.1904839942258886
1097,45.708333333333336,0.1899501801710886
1098,45.75,0.18941216642453843
1099,45.791666666666664,0.18886995952811003
1100,45.833333333333336,0.1883235744762632
1101,45.875,0.1877730250255319
1102,45.916666666666664,0.18721832144934364
1103,45.958333333333336,0.18665947565784383
1104,46.0,0.18609650097141084
1105,46.041666666666664,0.1855294109146334
1106,46.083333333333336,0.18495821768013246
1107,46.125,0.18438293500793276
1108,46.166666666666664,0.18380357244180487
1109,46.208333333333336,0.1832201482183254
1110,46.25,0.1826326728483537
1111,46.291666666666664,0.18204116053036576
1112,46.333333333333336,0.18144562267735298
1113,46.375,0.18084607516484874
1114,46.416666666666664,0.18024252750591055
1115,46.458333333333336,0.1796349979572149
1116,46.5,0.17902349836512294
1117,46.541666666666664,0.17840804077172295
1118,46.583333333333336,0.17778864159649926
1119,46.625,0.17716531602447402
1120,46.666666666666664,0.17653807413966222
1121,46.708333333333336,0.17590693503700802
1122,46.75,0.1752719089570586
1123,46.791666666666664,0.1746330116408178
1124,46.833333333333336,0.17399025734953863
1125,46.875,0.17334366186386826
1126,46.916666666666664,0.17269323889466448
1127,46.958333333333336,0.17203900032386332
1128,47.0,0.17138096438045486
1129,47.041666666666664,0.17071914599760482
1130,47.083333333333336,0.17005355935078792
1131,47.125,0.16938421902411435
1132,47.166666666666664,0.1687111415064701
1133,47.208333333333336,0.16803434131270642
1134,47.25,0.16735383400704962
1135,47.291666666666664,0.16666963467881368
1136,47.333333333333336,0.1659817594788932
1137,47.375,0.16529022514870953
1138,47.416666666666664,0.1645950452910985
1139,47.458333333333336,0.1638962375855173
1140,47.5,0.16319381533373997
1141,47.541666666666664,0.16248779551863674
1142,47.583333333333336,0.16177819416364794
1143,47.625,0.16106503027241723
1144,47.666666666666664,0.1603483194480497
1145,47.708333333333336,0.15962807614302016
1146,47.75,0.15890431892920198
1147,47.791666666666664,0.15817706202252987
1148,47.833333333333336,0.15744632530447017
1149,47.875,0.15671212373729065
1150,47.916666666666664,0.15597447369822748
1151,47.958333333333336,0.15523339164081978
1152,48.0,0.15448889793279993
1153,48.041666666666664,0.1537410068585985
1154,48.083333333333336,0.1529897373203576
1155,48.125,0.15223510538389384
1156,48.166666666666664,0.1514771317362553
1157,48.208333333333336,0.15071583362479055
1158,48.25,0.14995122628414537
1159,48.291666666666664,0.1491833285704202
1160,48.333333333333336,0.1484121600275287
1161,48.375,0.14763773706122058
1162,48.416666666666664,0.146860080249125
1163,48.458333333333336,0.14607920941081196
1164,48.5,0.14529513727853732
1165,48.541666666666664,0.1445078890148201
1166,48.583333333333336,0.14371747766459542
1167,48.625,0.14292392525975958
1168,48.666666666666664,0.1421272520547684
